name,Years,Origin,Sponsors
Sebas Garcia ( Sebas garcia),20, Madrid, Nomad skateboards y welcome sk8shop
Selena silvia Delic rodriguez ( Sele),21, Madrid, No tengo
Sergio Cadena irureta ( Cadena),21, Algorta," Hoax mfg, crossbone skateboards"
Sergio Fernández Carnero,44, La Coruña, Entabla
Sito Benedetti González,15," A Coruña , España", 
Sofia Del Valle Rodriguez ( Sofi),16, Palma de Mallorca, Kingdomskateboardshop
Thiago Monteiro,21, brasileira," codigo 3 street wear , Zuca na Tuga clothing , Rua 1 skateboard"
Thomas Wiley ( Tom),31, canada," Maroña Wheels, Limitless Skate and Snow, The Recycled Skateboard, Homegrown Skateboards,"
Unai Centeno Chaoartegui ( Unai),17, Madrid, 
VALENTINA PLANES NEIRA ( VALEN),10, A CORUÑA, 
Victor Jawneh Gisbert ( Victor),17, Barcelona," Ninguno actualmente, ex rider hydroponic."
Victor Núñez Martínez ( Viti),18, Cangas del Morrazo, Pnk skateboards
